entity_id,state,last_changed
sensor.tas_data_ds18b20_temperature,unavailable,2026-09-24T17:00:00.000Z
sensor.tas_data_ds18b20_temperature,unknown,2026-09-24T17:27:32.631Z
sensor.tas_data_ds18b20_temperature,71.42,2026-09-24T17:27:34.937Z
sensor.tas_data_ds18b20_temperature,unavailable,2026-09-24T17:28:21.590Z
sensor.tas_data_ds18b20_temperature,71.42,2026-09-24T17:28:21.722Z
sensor.tas_data_ds18b20_temperature,unavailable,2026-09-24T17:28:50.575Z
sensor.tas_data_ds18b20_temperature,71.42,2026-09-24T17:28:50.888Z
sensor.tas_data_ds18b20_temperature,71.6,2026-09-24T17:33:14.372Z
sensor.tas_data_ds18b20_temperature,unavailable,2026-09-24T17:36:45.417Z
sensor.tas_data_ds18b20_temperature,71.6,2026-09-24T17:37:15.529Z
sensor.tas_data_ds18b20_temperature,71.78,2026-09-24T17:37:18.000Z
sensor.tas_data_ds18b20_temperature,unavailable,2026-09-24T17:42:09.408Z
sensor.tas_data_ds18b20_temperature,71.78,2026-09-24T17:43:37.521Z
sensor.tas_data_ds18b20_temperature,71.96,2026-09-24T17:43:48.356Z
sensor.tas_data_ds18b20_temperature,71.78,2026-09-24T17:45:22.996Z
sensor.tas_data_ds18b20_temperature,71.42,2026-09-24T17:46:23.021Z
sensor.tas_data_ds18b20_temperature,71.24,2026-09-24T17:47:24.521Z
sensor.tas_data_ds18b20_temperature,70.88,2026-09-24T17:48:23.006Z
sensor.tas_data_ds18b20_temperature,70.52,2026-09-24T17:49:22.979Z
sensor.tas_data_ds18b20_temperature,70.16,2026-09-24T17:50:23.007Z
sensor.tas_data_ds18b20_temperature,69.8,2026-09-24T17:51:22.975Z
sensor.tas_data_ds18b20_temperature,69.62,2026-09-24T17:52:22.995Z
sensor.tas_data_ds18b20_temperature,69.26,2026-09-24T17:53:27.362Z
sensor.tas_data_ds18b20_temperature,68.9,2026-09-24T17:54:22.995Z
sensor.tas_data_ds18b20_temperature,68.54,2026-09-24T17:55:27.456Z
sensor.tas_data_ds18b20_temperature,68.18,2026-09-24T17:56:22.988Z
sensor.tas_data_ds18b20_temperature,67.82,2026-09-24T17:57:22.965Z
sensor.tas_data_ds18b20_temperature,67.64,2026-09-24T17:58:22.962Z
sensor.tas_data_ds18b20_temperature,67.28,2026-09-24T17:59:22.968Z
sensor.tas_data_ds18b20_temperature,66.92,2026-09-24T18:00:22.974Z
sensor.tas_data_ds18b20_temperature,66.74,2026-09-24T18:01:22.958Z
sensor.tas_data_ds18b20_temperature,66.38,2026-09-24T18:02:22.932Z
sensor.tas_data_ds18b20_temperature,66.02,2026-09-24T18:03:22.965Z
sensor.tas_data_ds18b20_temperature,65.66,2026-09-24T18:04:22.916Z
sensor.tas_data_ds18b20_temperature,65.3,2026-09-24T18:05:22.945Z
sensor.tas_data_ds18b20_temperature,65.12,2026-09-24T18:06:22.922Z
sensor.tas_data_ds18b20_temperature,64.76,2026-09-24T18:07:22.950Z
sensor.tas_data_ds18b20_temperature,64.58,2026-09-24T18:08:22.921Z
sensor.tas_data_ds18b20_temperature,64.22,2026-09-24T18:09:22.933Z
sensor.tas_data_ds18b20_temperature,64.04,2026-09-24T18:10:22.904Z
sensor.tas_data_ds18b20_temperature,63.68,2026-09-24T18:11:22.917Z
sensor.tas_data_ds18b20_temperature,63.32,2026-09-24T18:12:22.905Z
sensor.tas_data_ds18b20_temperature,62.96,2026-09-24T18:13:22.926Z
sensor.tas_data_ds18b20_temperature,62.78,2026-09-24T18:14:22.908Z
sensor.tas_data_ds18b20_temperature,62.6,2026-09-24T18:15:22.874Z
